series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
8,2,803,B,King's Fianchetto Opening,https://youtu.be/hzotV0aslmY,17.50,,Back to 3000,Danya,1. g3 e5 ,2. Bg2 d5 ,3. e3 Nf6,
8,3,816,B,Queen's Pawn Opening,https://youtu.be/hzotV0aslmY,32.30,,Back to 3000,Danya,1. d4 d5 ,2. a3 Nf6,3. Nf3 Bf5,
9,1,1073,B,1. e4 e5 2. Qf3,https://www.youtube.com/watch?v=33EpuPv4ULw&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=9,0.00,16.03,Back to 3000,Danya,1. e4 e5,,,
9,2,,W,Philidor,,7.30,18.15,Back to 3000,Danya,,,,
9,3,,W,Advance French,,12.13,28.40,Back to 3000,Danya,,,,
10,1,1112,W,Italian,https://www.youtube.com/watch?v=QJ3YfBMrVls&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=10,2.00,16.30,Back to 3000,Danya,,,,
10,2,,,Philidor,,7.50,20.00,Back to 3000,Danya,,,,
10,3,,,Sicilian,,12.30,22.52,Back to 3000,Danya,,,,
11,1,1138,B,Sicilian,https://www.youtube.com/watch?v=nsG9XSdGkj8&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=11,0.00,43.05,Back to 3000,Danya,,,,
11,2,,W,Open Sicilian,,9.10,33.40,Back to 3000,Danya,,,,
11,3,,B,Ruy Lopez,,16.40,42.10,Back to 3000,Danya,,,,
12,1,1173,W,Italian,https://www.youtube.com/watch?v=uuDQbMlXeDQ&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=12,0.00,15.35,Back to 3000,Danya,,,,
12,2,,W,Elephant Gambit,,3.45,20.00,Back to 3000,Danya,,,,
12,3,,B,QGD,,8.55,24.50,Back to 3000,Danya,,,,
13,1,1200,B,King's Gambit,https://www.youtube.com/watch?v=Wgl8OsI1dB4&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=13,0.00,20.15,Back to 3000,Danya,,,,
13,2,,W,Italian,,10.05,24.10,Back to 3000,Danya,,,,
14,1,1219,B,Accelerated Dragon,https://www.youtube.com/watch?v=qlEZdH3nEZs,0.00,,Back to 3000,Danya,,,,
14,2,,W,Modern,,6.50,,Back to 3000,Danya,,,,
14,3,,B,Sicilian,,14.15,,Back to 3000,Danya,,,,
