series_no,game_no,rating,color,opening,link,start,analysis,series,creator,move1,move2,move3,move4
18,2,,B,King's Indian,,9.0,,Back to 3000,Danya,,,,
18,3,,B,King's Indian,,19.4,,Back to 3000,Danya,,,,
19,1,1380.0,W,Philidor,https://www.youtube.com/watch?v=xoS71OW-Re0&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=19,0.0,10.0,Back to 3000,Danya,,,,
19,2,,,Elephant Gambit,,13.0,,Back to 3000,Danya,,,,
19,3,,,Stafford Gambit,,25.0,,Back to 3000,Danya,,,,
20,1,1398.0,B,Accelerated Dragon,https://www.youtube.com/watch?v=lWVZLZdQHcY&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=20,0.0,17.33,Back to 3000,Danya,,,,
20,2,,W,Sicilian,,6.5,29.22,Back to 3000,Danya,,,,
21,1,1420.0,B,King's Indian,https://www.youtube.com/watch?v=cdEASsRLWcg&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=21,0.0,,Back to 3000,Danya,,,,
21,2,,B,Accelerated Dragon,,22.0,,Back to 3000,Danya,,,,
21,4,,W,Scandinavian,,33.5,,Back to 3000,Danya,,,,
22,1,1451.0,B,King's Indian,https://www.youtube.com/watch?v=J6MDnL_B83w&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=22,0.0,,Back to 3000,Danya,,,,
22,2,,B,Accelerated Dragon,,14.45,,Back to 3000,Danya,,,,
23,1,1469.0,W,Philidor,https://www.youtube.com/watch?v=OwrIaWwPJvM&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=23,0.0,,Back to 3000,Danya,,,,
23,2,,B,Sicilian,,11.3,,Back to 3000,Danya,,,,
24,1,1489.0,B,Bird,https://www.youtube.com/watch?v=U8zArIhxato&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=24,0.0,,Back to 3000,Danya,,,,
24,2,,W,Italian,,4.5,,Back to 3000,Danya,,,,
24,3,,W,Open Sicilian,,10.15,19.15,Back to 3000,Danya,,,,
24,4,,B,Accelerated Dragon,,20.5,30.2,Back to 3000,Danya,,,,
25,1,1527.0,B,Accelerated Dragon,https://www.youtube.com/watch?v=ii1vl5wLPWU&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=25,0.0,10.4,Back to 3000,Danya,,,,
25,2,,W,Italian,,16.55,,Back to 3000,Danya,,,,
25,3,,W,Pirc,,24.4,,Back to 3000,Danya,,,,
26,1,1562.0,B,Italian,https://www.youtube.com/watch?v=FqVMAv3wKes&list=PLT1F2nOxLHOcmi_qi1BbY6axf5xLFEcit&index=26,1.3,,Back to 3000,Danya,,,,
